Date,Centre_Name,Commodity_Name,Price
16-01-2013,CHENNAI,Potato,NA
16-01-2013,DINDIGUL,Potato,25
16-01-2013,THIRUCHIRAPALLI,Potato,NA
16-01-2013,HYDERABAD,Potato,18
17-01-2013,CHANDIGARH,Potato,9
17-01-2013,DELHI,Potato,10
17-01-2013,HISAR,Potato,9
17-01-2013,KARNAL,Potato,10
17-01-2013,SHIMLA,Potato,10
17-01-2013,MANDI,Potato,10
17-01-2013,SRINAGAR,Potato,20
17-01-2013,JAMMU,Potato,15
17-01-2013,AMRITSAR,Potato,10
17-01-2013,LUDHIANA,Potato,10
17-01-2013,BATHINDA,Potato,8
17-01-2013,LUCKNOW,Potato,10
17-01-2013,KANPUR,Potato,8
17-01-2013,VARANASI,Potato,10
